employeenumber,username,password,accessType
1,manuel_garcia,fafk21@,Admin
2,antonio_lim,hFmjDw7t,Admin
3,biancasofia_aquino,t4Q5DuHA,Admin
4,isabella_reyes,zaMR1vbA,EmployeeUser
5,eduard_hernandez,gPBAqASX,Admin
6,andreamae_villanueva,A4CeHGFz,Admin
7,brad_sanjose,yCbDp8PK,Admin
8,alice_romualdez,x7EUShjl,EmployeeUser
9,rosie_atienza,E9JymdJj,EmployeeUser
10,roderick_alvaro,aKMebILV,Admin
11,anthony_salcedo,cHRcjyXP,Admin
12,josie_lopez,7ZASyfXM,Admin
13,martha_farala,FMBqewoA,Admin
14,leila_martinez,fzw7aMvu,Admin
15,fredrick_romualdez,H5HIxpFB,Admin
16,christian_mata,OnG2gUBd,Admin
17,selena_deleon,67Hr6JqR,EmployeeUser
18,allison_sanjose,9gSSyBPz,EmployeeUser
19,cydney_rosario,4LedUTd6,EmployeeUser
20,mark_bautista,UDrBPFT6,EmployeeUser
21,darlene_lazaro,vexdNlgR,EmployeeUser
22,kolby_delossantos,4OtcS4lM,EmployeeUser
23,vella_santos,QxGY6bPi,EmployeeUser
24,tomas_delrosario,JdBoz9XW,EmployeeUser
25,jacklyn_tolentino,x4ZPanxY,EmployeeUser
26,percival_gutierrez,lAS9tTsA,EmployeeUser
27,garfield_manalaysay,w98cmos5,EmployeeUser
28,lizeth_villegas,yYOoPC3x,EmployeeUser
29,carol_ramos,BW2C574k,EmployeeUser
30,emelia_maceda,lv5hUnZL,EmployeeUser
31,delia_aguilar,Oz5fxlUT,EmployeeUser
32,johnrafael_castro,0Uqi19wr,EmployeeUser
33,carlosian_martinez,o6mWglRj,EmployeeUser
34,beatriz_santos,uEkkxoLY,EmployeeUser
35,e.manuel_garcia,fafk21@,EmployeeUser
