Username,Password,EmployeeNumber
john.doe13,fFAV1F!R3,1
jane.smith45,%z1>b63(lf,2
alice.johnson99,t\N@j.A|V@,3
chris.lee47,g:'I'SOZVu,4
david.brown69,[6y]z.p2O/,5
emma.davis27,_k34a.#oyH,6
james.wilson96,"?`Q""=:E!,h",7
olivia.martinez20,IiP%&Y5@bu,8
liam.anderson16,H]B[SLVF_H,9
sophia.thomas80,&f4kqa_\.=,10
mason.hernandez34,+iy]!l}{xq,11
isabella.moore17,"ee1]G6w,Rx",12
ethan.martin35,G5U!i~<\aq,13
mia.jackson55,Zk'x6E!k1|,14
lucas.white92,6F=E+~!W~a,15
ava.harris6,/j#}xEZ?+:,16
logan.clark17,'-_Pq[:6eh,17
charlotte.lewis57,+.E?-YByU0,18
aiden.robinson50,"o,HBSy1*b""",19
amelia.walker99,I1I@l~4Jf+,20
